84.8;
86.48;
85.71;
84.75;
85.49;
85.26;
90.66;
84.32;
84.53;
90.75;
81.42;
84.05;
81.35;
83.36;
82.91;
83.06;
79.71;
80.38;
84.59;
82.42;
80.66;
79.35;
80.23;
80.91;
85.13;
81.42;
79.46;
81.07;
81.58;
86.69;
94.66;
93.92;
86.91;
86.65;
89.45;
81.4;
81.28;
80.18;
79.51;
79.17;
80.47;
80.53;
80.51;
80.17;
81.3;
81.74;
82.79;
84.68;
80.69;
83.17;
