79.67;
81.55;
81.88;
80.43;
82.17;
82.19;
79.15;
80.62;
79.82;
80.26;
79.06;
80.01;
79.91;
79.33;
79.96;
80.88;
80.63;
80.69;
81.76;
81.03;
81.37;
81.06;
79.41;
80.73;
79.31;
79.69;
80.73;
81.94;
81.43;
80.43;
79.4;
81.18;
80.01;
80.35;
80.72;
78.32;
79.88;
78.53;
81.21;
78.28;
78.97;
82.47;
82.87;
80.98;
82.11;
87.28;
83.27;
79.73;
80.16;
80.99;
