INSTANCE 				 NODES 		 SEED 		 METHOD 	 DSIZE 
graph250-01.txt 		 250 		 5255 		 g 			 1
graph250-01.txt 		 250 		 12713 		 g 			 1
graph250-01.txt 		 250 		 20441 		 g 			 1
graph250-01.txt 		 250 		 23655 		 g 			 1
graph250-01.txt 		 250 		 9847 		 g 			 1
graph250-01.txt 		 250 		 20161 		 g 			 1
graph250-01.txt 		 250 		 7219 		 g 			 1
graph250-01.txt 		 250 		 1989 		 g 			 1
graph250-01.txt 		 250 		 20400 		 g 			 1
graph250-01.txt 		 250 		 18119 		 g 			 1
graph250-01.txt 		 250 		 28369 		 g 			 1
graph250-01.txt 		 250 		 31486 		 g 			 1
graph250-01.txt 		 250 		 26035 		 g 			 1
graph250-01.txt 		 250 		 32221 		 g 			 1
graph250-01.txt 		 250 		 25537 		 g 			 1
graph250-01.txt 		 250 		 6324 		 g 			 1
graph250-01.txt 		 250 		 31643 		 g 			 1
graph250-01.txt 		 250 		 13715 		 g 			 1
graph250-01.txt 		 250 		 31184 		 g 			 1
graph250-01.txt 		 250 		 24365 		 g 			 1
graph250-01.txt 		 250 		 14076 		 g 			 1
graph250-01.txt 		 250 		 414 		 g 			 1
graph250-01.txt 		 250 		 17235 		 g 			 1
graph250-01.txt 		 250 		 5193 		 g 			 1
graph250-01.txt 		 250 		 22466 		 g 			 1
graph250-01.txt 		 250 		 14847 		 g 			 1
graph250-01.txt 		 250 		 6503 		 g 			 1
graph250-01.txt 		 250 		 17757 		 g 			 1
graph250-01.txt 		 250 		 3426 		 g 			 1
graph250-01.txt 		 250 		 16141 		 g 			 1
graph250-01.txt 		 250 		 1883 		 g 			 1
graph250-01.txt 		 250 		 28935 		 g 			 1
graph250-01.txt 		 250 		 5488 		 g 			 1
graph250-01.txt 		 250 		 28660 		 g 			 1
graph250-01.txt 		 250 		 904 		 g 			 1
graph250-01.txt 		 250 		 24277 		 g 			 1
graph250-01.txt 		 250 		 265 		 g 			 1
graph250-01.txt 		 250 		 8344 		 g 			 1
graph250-01.txt 		 250 		 23600 		 g 			 1
graph250-01.txt 		 250 		 5077 		 g 			 1
graph250-01.txt 		 250 		 7841 		 g 			 1
graph250-01.txt 		 250 		 27761 		 g 			 1
graph250-01.txt 		 250 		 29482 		 g 			 1
graph250-01.txt 		 250 		 1419 		 g 			 1
graph250-01.txt 		 250 		 7733 		 g 			 1
graph250-01.txt 		 250 		 26405 		 g 			 1
graph250-01.txt 		 250 		 24885 		 g 			 1
graph250-01.txt 		 250 		 4356 		 g 			 1
graph250-01.txt 		 250 		 15085 		 g 			 1
graph250-01.txt 		 250 		 19125 		 g 			 1
graph250-01.txt 		 250 		 21244 		 a 			 1
graph250-01.txt 		 250 		 11509 		 a 			 1
graph250-01.txt 		 250 		 15428 		 a 			 1
graph250-01.txt 		 250 		 18596 		 a 			 1
graph250-01.txt 		 250 		 9845 		 a 			 1
graph250-01.txt 		 250 		 30854 		 a 			 1
graph250-01.txt 		 250 		 10354 		 a 			 1
graph250-01.txt 		 250 		 26181 		 a 			 1
graph250-01.txt 		 250 		 18368 		 a 			 1
graph250-01.txt 		 250 		 13645 		 a 			 1
graph250-01.txt 		 250 		 4533 		 a 			 1
graph250-01.txt 		 250 		 16696 		 a 			 1
graph250-01.txt 		 250 		 29658 		 a 			 1
graph250-01.txt 		 250 		 8199 		 a 			 1
graph250-01.txt 		 250 		 32671 		 a 			 1
graph250-01.txt 		 250 		 9977 		 a 			 1
graph250-01.txt 		 250 		 29578 		 a 			 1
graph250-01.txt 		 250 		 7229 		 a 			 1
graph250-01.txt 		 250 		 18247 		 a 			 1
graph250-01.txt 		 250 		 14880 		 a 			 1
graph250-01.txt 		 250 		 26784 		 a 			 1
graph250-01.txt 		 250 		 6491 		 a 			 1
graph250-01.txt 		 250 		 27318 		 a 			 1
graph250-01.txt 		 250 		 6634 		 a 			 1
graph250-01.txt 		 250 		 10894 		 a 			 1
graph250-01.txt 		 250 		 2093 		 a 			 1
graph250-01.txt 		 250 		 3988 		 a 			 1
graph250-01.txt 		 250 		 28900 		 a 			 1
graph250-01.txt 		 250 		 11516 		 a 			 1
graph250-01.txt 		 250 		 1402 		 a 			 1
graph250-01.txt 		 250 		 12679 		 a 			 1
graph250-01.txt 		 250 		 22438 		 a 			 1
graph250-01.txt 		 250 		 3075 		 a 			 1
graph250-01.txt 		 250 		 16483 		 a 			 1
graph250-01.txt 		 250 		 22361 		 a 			 1
graph250-01.txt 		 250 		 15509 		 a 			 1
graph250-01.txt 		 250 		 11233 		 a 			 1
graph250-01.txt 		 250 		 2461 		 a 			 1
graph250-01.txt 		 250 		 22920 		 a 			 1
graph250-01.txt 		 250 		 5552 		 a 			 1
graph250-01.txt 		 250 		 10875 		 a 			 1
graph250-01.txt 		 250 		 4999 		 a 			 1
graph250-01.txt 		 250 		 8919 		 a 			 1
graph250-01.txt 		 250 		 1150 		 a 			 1
graph250-01.txt 		 250 		 14694 		 a 			 1
graph250-01.txt 		 250 		 492 		 a 			 1
graph250-01.txt 		 250 		 26755 		 a 			 1
graph250-01.txt 		 250 		 7918 		 a 			 1
graph250-01.txt 		 250 		 25552 		 a 			 1
graph250-01.txt 		 250 		 16278 		 a 			 1
