INSTANCE 				 NODES 		 SEED 		 METHOD 	 DSIZE 
frb30-15-1.txt 		 450 		 5255 		 g 			 1
frb30-15-1.txt 		 450 		 12713 		 g 			 1
frb30-15-1.txt 		 450 		 20441 		 g 			 1
frb30-15-1.txt 		 450 		 23655 		 g 			 1
frb30-15-1.txt 		 450 		 9847 		 g 			 1
frb30-15-1.txt 		 450 		 20161 		 g 			 1
frb30-15-1.txt 		 450 		 7219 		 g 			 1
frb30-15-1.txt 		 450 		 1989 		 g 			 1
frb30-15-1.txt 		 450 		 20400 		 g 			 1
frb30-15-1.txt 		 450 		 18119 		 g 			 1
frb30-15-1.txt 		 450 		 28369 		 g 			 1
frb30-15-1.txt 		 450 		 31486 		 g 			 1
frb30-15-1.txt 		 450 		 26035 		 g 			 1
frb30-15-1.txt 		 450 		 32221 		 g 			 1
frb30-15-1.txt 		 450 		 25537 		 g 			 1
frb30-15-1.txt 		 450 		 6324 		 g 			 1
frb30-15-1.txt 		 450 		 31643 		 g 			 1
frb30-15-1.txt 		 450 		 13715 		 g 			 1
frb30-15-1.txt 		 450 		 31184 		 g 			 1
frb30-15-1.txt 		 450 		 24365 		 g 			 1
frb30-15-1.txt 		 450 		 14076 		 g 			 1
frb30-15-1.txt 		 450 		 414 		 g 			 1
frb30-15-1.txt 		 450 		 17235 		 g 			 1
frb30-15-1.txt 		 450 		 5193 		 g 			 1
frb30-15-1.txt 		 450 		 22466 		 g 			 1
frb30-15-1.txt 		 450 		 14847 		 g 			 1
frb30-15-1.txt 		 450 		 6503 		 g 			 1
frb30-15-1.txt 		 450 		 17757 		 g 			 1
frb30-15-1.txt 		 450 		 3426 		 g 			 1
frb30-15-1.txt 		 450 		 16141 		 g 			 1
frb30-15-1.txt 		 450 		 1883 		 g 			 1
frb30-15-1.txt 		 450 		 28935 		 g 			 1
frb30-15-1.txt 		 450 		 5488 		 g 			 1
frb30-15-1.txt 		 450 		 28660 		 g 			 1
frb30-15-1.txt 		 450 		 904 		 g 			 1
frb30-15-1.txt 		 450 		 24277 		 g 			 1
frb30-15-1.txt 		 450 		 265 		 g 			 1
frb30-15-1.txt 		 450 		 8344 		 g 			 1
frb30-15-1.txt 		 450 		 23600 		 g 			 1
frb30-15-1.txt 		 450 		 5077 		 g 			 1
frb30-15-1.txt 		 450 		 7841 		 g 			 1
frb30-15-1.txt 		 450 		 27761 		 g 			 1
frb30-15-1.txt 		 450 		 29482 		 g 			 1
frb30-15-1.txt 		 450 		 1419 		 g 			 1
frb30-15-1.txt 		 450 		 7733 		 g 			 1
frb30-15-1.txt 		 450 		 26405 		 g 			 1
frb30-15-1.txt 		 450 		 24885 		 g 			 1
frb30-15-1.txt 		 450 		 4356 		 g 			 1
frb30-15-1.txt 		 450 		 15085 		 g 			 1
frb30-15-1.txt 		 450 		 19125 		 g 			 1
frb30-15-1.txt 		 450 		 21244 		 a 			 1
frb30-15-1.txt 		 450 		 11509 		 a 			 1
frb30-15-1.txt 		 450 		 15428 		 a 			 1
frb30-15-1.txt 		 450 		 18596 		 a 			 1
frb30-15-1.txt 		 450 		 9845 		 a 			 1
frb30-15-1.txt 		 450 		 30854 		 a 			 1
frb30-15-1.txt 		 450 		 10354 		 a 			 1
frb30-15-1.txt 		 450 		 26181 		 a 			 1
frb30-15-1.txt 		 450 		 18368 		 a 			 1
frb30-15-1.txt 		 450 		 13645 		 a 			 1
frb30-15-1.txt 		 450 		 4533 		 a 			 1
frb30-15-1.txt 		 450 		 16696 		 a 			 1
frb30-15-1.txt 		 450 		 29658 		 a 			 1
frb30-15-1.txt 		 450 		 8199 		 a 			 1
frb30-15-1.txt 		 450 		 32671 		 a 			 1
frb30-15-1.txt 		 450 		 9977 		 a 			 1
frb30-15-1.txt 		 450 		 29578 		 a 			 1
frb30-15-1.txt 		 450 		 7229 		 a 			 1
frb30-15-1.txt 		 450 		 18247 		 a 			 1
frb30-15-1.txt 		 450 		 14880 		 a 			 1
frb30-15-1.txt 		 450 		 26784 		 a 			 1
frb30-15-1.txt 		 450 		 6491 		 a 			 1
frb30-15-1.txt 		 450 		 27318 		 a 			 1
frb30-15-1.txt 		 450 		 6634 		 a 			 1
frb30-15-1.txt 		 450 		 10894 		 a 			 1
frb30-15-1.txt 		 450 		 2093 		 a 			 1
frb30-15-1.txt 		 450 		 3988 		 a 			 1
frb30-15-1.txt 		 450 		 28900 		 a 			 1
frb30-15-1.txt 		 450 		 11516 		 a 			 1
